date,time,age,confirmed
2020-03-23,0,50s,1702
2020-03-23,0,60s,1139
2020-03-23,0,70s,599
2020-03-23,0,80s,396
2020-03-24,0,0s,105
2020-03-24,0,10s,468
2020-03-24,0,20s,2438
2020-03-24,0,30s,921
2020-03-24,0,40s,1234
2020-03-24,0,50s,1716
2020-03-24,0,60s,1146
2020-03-24,0,70s,608
2020-03-24,0,80s,401
2020-03-25,0,0s,105
2020-03-25,0,10s,475
2020-03-25,0,20s,2473
2020-03-25,0,30s,943
2020-03-25,0,40s,1246
2020-03-25,0,50s,1724
2020-03-25,0,60s,1154
2020-03-25,0,70s,611
2020-03-25,0,80s,406
2020-03-26,0,0s,106
2020-03-26,0,10s,488
2020-03-26,0,20s,2508
2020-03-26,0,30s,955
2020-03-26,0,40s,1252
2020-03-26,0,50s,1738
2020-03-26,0,60s,1162
2020-03-26,0,70s,616
2020-03-26,0,80s,416
2020-03-27,0,0s,108
2020-03-27,0,10s,496
2020-03-27,0,20s,2532
2020-03-27,0,30s,960
2020-03-27,0,40s,1256
2020-03-27,0,50s,1752
2020-03-27,0,60s,1170
2020-03-27,0,70s,630
2020-03-27,0,80s,428
2020-03-28,0,0s,109
2020-03-28,0,10s,501
2020-03-28,0,20s,2567
2020-03-28,0,30s,978
2020-03-28,0,40s,1278
2020-03-28,0,50s,1780
2020-03-28,0,60s,1201
2020-03-28,0,70s,632
2020-03-28,0,80s,432
2020-03-29,0,0s,111
2020-03-29,0,10s,508
2020-03-29,0,20s,2602
2020-03-29,0,30s,993
2020-03-29,0,40s,1292
2020-03-29,0,50s,1798
2020-03-29,0,60s,1210
2020-03-29,0,70s,635
2020-03-29,0,80s,434
2020-03-30,0,0s,112
2020-03-30,0,10s,513
2020-03-30,0,20s,2630
2020-03-30,0,30s,1002
2020-03-30,0,40s,1297
2020-03-30,0,50s,1812
2020-03-30,0,60s,1218
2020-03-30,0,70s,640
2020-03-30,0,80s,437
2020-03-31,0,0s,112
2020-03-31,0,10s,515
2020-03-31,0,20s,2656
2020-03-31,0,30s,1012
2020-03-31,0,40s,1312
2020-03-31,0,50s,1851
2020-03-31,0,60s,1235
2020-03-31,0,70s,651
2020-03-31,0,80s,442
2020-04-01,0,0s,116
2020-04-01,0,10s,519
2020-04-01,0,20s,2682
2020-04-01,0,30s,1027
2020-04-01,0,40s,1323
2020-04-01,0,50s,1865
2020-04-01,0,60s,1245
2020-04-01,0,70s,658
2020-04-01,0,80s,452
2020-04-02,0,0s,119
2020-04-02,0,10s,522
2020-04-02,0,20s,2704
2020-04-02,0,30s,1043
2020-04-02,0,40s,1336
2020-04-02,0,50s,1878
2020-04-02,0,60s,1258
2020-04-02,0,70s,663
2020-04-02,0,80s,453
2020-04-03,0,0s,121
2020-04-03,0,10s,528
2020-04-03,0,20s,2734
2020-04-03,0,30s,1052
2020-04-03,0,40s,1350
2020-04-03,0,50s,1887
2020-04-03,0,60s,1266
2020-04-03,0,70s,668
2020-04-03,0,80s,456
2020-04-04,0,0s,122
2020-04-04,0,10s,530
2020-04-04,0,20s,2761
2020-04-04,0,30s,1066
2020-04-04,0,40s,1358
2020-04-04,0,50s,1898
2020-04-04,0,60s,1282
2020-04-04,0,70s,678
2020-04-04,0,80s,461
2020-04-05,0,0s,124
2020-04-05,0,10s,535
2020-04-05,0,20s,2789
2020-04-05,0,30s,1083
2020-04-05,0,40s,1370
2020-04-05,0,50s,1904
2020-04-05,0,60s,1289
2020-04-05,0,70s,681
2020-04-05,0,80s,462
2020-04-06,0,0s,126
2020-04-06,0,10s,542
2020-04-06,0,20s,2804
2020-04-06,0,30s,1086
2020-04-06,0,40s,1375
2020-04-06,0,50s,1906
2020-04-06,0,60s,1294
2020-04-06,0,70s,686
2020-04-06,0,80s,465
2020-04-07,0,0s,126
2020-04-07,0,10s,544
2020-04-07,0,20s,2819
2020-04-07,0,30s,1092
2020-04-07,0,40s,1382
2020-04-07,0,50s,1909
2020-04-07,0,60s,1304
2020-04-07,0,70s,689
2020-04-07,0,80s,466
2020-04-08,0,0s,126
2020-04-08,0,10s,548
2020-04-08,0,20s,2832
2020-04-08,0,30s,1102
2020-04-08,0,40s,1387
2020-04-08,0,50s,1915
2020-04-08,0,60s,1312
2020-04-08,0,70s,692
2020-04-08,0,80s,470
2020-04-09,0,0s,128
2020-04-09,0,10s,552
2020-04-09,0,20s,2844
2020-04-09,0,30s,1109
2020-04-09,0,40s,1394
2020-04-09,0,50s,1917
2020-04-09,0,60s,1314
2020-04-09,0,70s,692
2020-04-09,0,80s,473
2020-04-10,0,0s,129
2020-04-10,0,10s,553
2020-04-10,0,20s,2851
2020-04-10,0,30s,1113
2020-04-10,0,40s,1396
2020-04-10,0,50s,1920
2020-04-10,0,60s,1320
2020-04-10,0,70s,694
2020-04-10,0,80s,474
2020-04-11,0,0s,130
2020-04-11,0,10s,558
2020-04-11,0,20s,2856
2020-04-11,0,30s,1115
2020-04-11,0,40s,1399
2020-04-11,0,50s,1926
2020-04-11,0,60s,1327
2020-04-11,0,70s,694
2020-04-11,0,80s,475
2020-04-12,0,0s,130
2020-04-12,0,10s,561
2020-04-12,0,20s,2869
2020-04-12,0,30s,1120
2020-04-12,0,40s,1400
2020-04-12,0,50s,1930
2020-04-12,0,60s,1330
2020-04-12,0,70s,697
2020-04-12,0,80s,475
2020-04-13,0,0s,132
2020-04-13,0,10s,562
2020-04-13,0,20s,2879
2020-04-13,0,30s,1122
2020-04-13,0,40s,1401
2020-04-13,0,50s,1932
